iter	MultiClass
0	2.094045324
1	1.961529809
2	1.86326159
3	1.790328095
4	1.716061165
5	1.647696021
6	1.593337344
7	1.540804162
8	1.491430438
9	1.444933555
10	1.407944399
11	1.366303996
12	1.324211978
13	1.286670592
14	1.258599614
15	1.229112405
16	1.201800377
17	1.176439523
18	1.154115749
19	1.130852798
20	1.109307699
21	1.086198762
22	1.070922623
23	1.053160861
24	1.035373756
25	1.017749642
26	1.002984539
27	0.9870773713
28	0.9734006003
29	0.9620189183
30	0.9472396879
31	0.934645041
32	0.9233085824
33	0.9108872691
34	0.8982342222
35	0.8868430016
36	0.8779356438
37	0.8665913469
38	0.8554917492
39	0.8460405157
40	0.8364904584
41	0.8281709263
42	0.8201996442
43	0.8116011113
44	0.8020955158
45	0.7949267686
46	0.7883837714
47	0.7807812269
48	0.7741231765
49	0.7662696423
50	0.7578014337
51	0.7519976939
52	0.7473673169
53	0.7415155046
54	0.734724192
55	0.7280512337
56	0.7215393409
57	0.7150716691
58	0.7112779393
59	0.7057336134
60	0.7004678902
61	0.6939658454
62	0.6889520662
63	0.6829112982
64	0.6776532756
65	0.6724582203
66	0.6680228317
67	0.6636772819
68	0.6589394014
69	0.6544961784
70	0.6487001367
71	0.6450764394
72	0.6408732201
73	0.6368407029
74	0.633021588
75	0.6294128802
76	0.6258380285
77	0.6219842109
78	0.6173628179
79	0.6150027833
80	0.6115146817
81	0.6080102911
82	0.6044653451
83	0.6008129104
84	0.5980072427
85	0.594917741
86	0.5920741434
87	0.589936854
88	0.5878334517
89	0.5849390918
90	0.5817832302
91	0.5796998657
92	0.5766899479
93	0.5744796397
94	0.5726260698
95	0.5704866154
96	0.568234113
97	0.5654296185
98	0.5630209804
99	0.5602993398
100	0.5572035872
101	0.5545062669
102	0.5515856765
103	0.5489420495
104	0.5469744814
105	0.544835585
106	0.5424113177
107	0.539831932
108	0.5381869639
109	0.5364540878
110	0.5346585278
111	0.5322048632
112	0.5304387761
113	0.5278122326
114	0.5260933887
115	0.5244576504
116	0.5227551656
117	0.5213010125
118	0.5193429857
119	0.5178548959
120	0.5155416236
121	0.5138030068
122	0.5123627386
123	0.5107045611
124	0.5086510242
125	0.5063275884
126	0.5047364535
127	0.5039184428
128	0.5019314749
129	0.5007401167
130	0.4994554375
131	0.4985140454
132	0.4974803053
133	0.4960401729
134	0.49444493
135	0.4932302955
136	0.4918071919
137	0.4902386216
138	0.4889648855
139	0.4877276109
140	0.4859372723
141	0.4842740601
142	0.4830328426
143	0.481344257
144	0.4802644577
145	0.479199007
146	0.4777738947
147	0.4762243564
148	0.4747632979
149	0.4729710445
150	0.4719558187
151	0.4710207258
152	0.4695464981
153	0.4686749361
154	0.4674617432
155	0.4664107921
156	0.4653272188
157	0.4635563914
158	0.4621060691
159	0.4614442117
160	0.4606766051
161	0.4596194745
162	0.4585709717
163	0.4574246505
164	0.4563814316
165	0.4551085156
166	0.4541297709
167	0.4529651686
168	0.4519918944
169	0.4509451974
170	0.4502241214
171	0.4493434736
172	0.4478927449
173	0.4466169086
174	0.4454879003
175	0.4449029266
176	0.444162699
177	0.4434441265
178	0.4425024065
179	0.4418120617
180	0.4408968032
181	0.4396238971
182	0.4389701776
183	0.4380885183
184	0.4373037023
185	0.4364152826
186	0.4355642402
187	0.4343272502
188	0.433730967
189	0.4331064768
190	0.4323129855
191	0.431260602
192	0.4306438912
193	0.4295250982
194	0.4286369175
195	0.4279908389
196	0.4270940466
197	0.4264590601
198	0.425740685
199	0.4252391499
200	0.4244017482
201	0.4233949235
202	0.4227705113
203	0.4220993048
204	0.4209578596
205	0.4198714076
206	0.4193124192
207	0.4186429821
208	0.4177393848
209	0.4168055682
210	0.4159560908
211	0.4151962484
212	0.414154249
213	0.4134113333
214	0.4127964389
215	0.4116909267
216	0.4111235216
217	0.4107097909
218	0.4100559589
219	0.4092993391
220	0.4089768613
221	0.4082010726
222	0.4074936913
223	0.4069290753
224	0.4062785312
225	0.4055775938
226	0.4047516949
227	0.4041021168
228	0.4034741795
