iter	Passed	Remaining
0	27	27376
1	53	26857
2	81	27135
3	108	27122
4	135	26935
5	163	27146
6	192	27313
7	220	27313
8	247	27305
9	275	27258
10	303	27278
11	331	27294
12	359	27276
13	386	27235
14	412	27093
15	440	27109
16	467	27018
17	494	26959
18	519	26818
19	545	26720
20	638	29779
21	684	30412
22	720	30620
23	759	30892
24	795	31021
25	831	31140
26	869	31324
27	898	31197
28	925	30994
29	952	30791
30	980	30663
31	1007	30479
32	1034	30316
33	1061	30154
34	1090	30058
35	1117	29923
36	1145	29811
37	1173	29717
38	1200	29590
39	1226	29443
40	1255	29363
41	1282	29262
42	1310	29168
43	1337	29067
44	1362	28924
45	1389	28809
46	1416	28728
47	1444	28653
48	1472	28583
49	1501	28521
50	1529	28469
51	1558	28409
52	1584	28308
53	1610	28211
54	1637	28139
55	1665	28073
56	1694	28026
57	1722	27982
58	1750	27911
59	1777	27853
60	1805	27790
61	1833	27738
62	1861	27687
63	1890	27643
64	1917	27589
65	1946	27549
66	1974	27495
67	2001	27437
68	2029	27383
69	2058	27349
70	2086	27304
71	2114	27248
72	2143	27215
73	2169	27146
74	2197	27108
75	2224	27042
76	2251	26989
77	2280	26956
78	2308	26910
79	2336	26864
80	2363	26817
81	2391	26770
82	2417	26713
83	2446	26677
84	2473	26627
85	2501	26583
86	2528	26539
87	2556	26490
88	2583	26443
89	2611	26404
90	2638	26352
91	2665	26311
92	2694	26279
93	2722	26241
94	2750	26201
95	2778	26161
96	2806	26124
97	2835	26093
98	2863	26060
99	2891	26023
100	2929	26072
101	3016	26559
102	3078	26808
103	3165	27269
104	3216	27414
105	3244	27362
106	3270	27298
107	3296	27230
108	3327	27199
109	3355	27149
110	3382	27088
111	3408	27027
112	3435	26969
113	3465	26933
114	3492	26874
115	3519	26818
116	3547	26771
117	3575	26722
118	3604	26683
119	3631	26630
120	3658	26579
121	3686	26529
122	3713	26480
123	3741	26433
124	3767	26374
125	3795	26327
126	3822	26278
127	3850	26233
128	3877	26183
129	3906	26142
130	3933	26093
131	3960	26045
132	3988	25998
133	4016	25959
134	4044	25914
135	4072	25873
136	4100	25832
137	4129	25794
138	4157	25755
139	4184	25703
140	4212	25661
141	4238	25611
142	4265	25565
143	4292	25517
144	4320	25476
145	4349	25443
146	4377	25401
147	4405	25362
148	4434	25328
149	4465	25304
150	4495	25277
151	4537	25315
152	4565	25275
153	4591	25225
154	4621	25193
155	4649	25152
156	4676	25108
157	4703	25065
158	4730	25018
159	4757	24977
160	4784	24933
161	4812	24894
162	4840	24854
163	4869	24820
164	4896	24780
165	4923	24734
166	4950	24691
167	4977	24648
168	5003	24605
169	5032	24570
170	5060	24533
171	5088	24497
172	5117	24465
173	5145	24424
174	5173	24390
175	5201	24350
176	5227	24304
177	5255	24271
178	5283	24233
179	5310	24193
180	5337	24151
181	5365	24113
182	5392	24072
183	5419	24033
184	5447	23998
185	5504	24091
186	5542	24096
187	5572	24070
188	5603	24045
189	5633	24014
190	5664	23992
191	5693	23959
192	5722	23929
193	5757	23920
194	5783	23876
195	5810	23833
196	5846	23829
197	5884	23834
198	5921	23835
199	5949	23798
200	5976	23759
201	6004	23722
202	6032	23684
203	6059	23643
204	6087	23608
205	6115	23571
206	6143	23533
207	6170	23496
208	6198	23461
209	6227	23427
210	6254	23386
211	6279	23340
212	6307	23305
213	6336	23273
214	6364	23238
215	6392	23200
216	6419	23164
217	6447	23128
218	6475	23094
219	6504	23060
220	6531	23024
221	6561	22994
222	6588	22958
223	6615	22917
224	6643	22883
225	6672	22850
226	6700	22816
227	6728	22780
228	6756	22749
229	6785	22716
230	6813	22682
231	6839	22641
232	6867	22608
233	6895	22572
234	6922	22536
235	6949	22498
236	6977	22462
237	7004	22426
238	7033	22394
239	7060	22359
240	7089	22326
241	7118	22297
242	7146	22263
243	7174	22229
244	7202	22194
245	7229	22159
246	7258	22126
247	7284	22087
248	7311	22052
249	7338	22015
250	7366	21980
251	7393	21947
252	7422	21915
253	7449	21878
254	7480	21854
255	7508	21821
256	7538	21793
257	7567	21763
258	7592	21723
259	7618	21684
260	7646	21649
261	7675	21619
262	7703	21588
263	7731	21554
264	7759	21520
265	7785	21483
266	7812	21447
267	7839	21412
268	7865	21374
269	7893	21342
270	7923	21313
271	7951	21282
272	7976	21242
273	8003	21207
274	8030	21172
275	8057	21135
276	8083	21098
277	8110	21063
278	8136	21026
279	8164	20993
280	8192	20962
281	8220	20929
282	8247	20896
283	8276	20865
284	8303	20832
285	8331	20800
286	8359	20767
287	8387	20736
288	8416	20705
289	8444	20673
290	8471	20639
291	8498	20606
292	8526	20573
293	8554	20541
294	8583	20512
295	8611	20480
296	8639	20449
297	8668	20421
298	8696	20389
299	8723	20355
300	8752	20325
301	8779	20290
302	8806	20258
303	8833	20224
304	8861	20191
305	8889	20160
306	8915	20126
307	8942	20091
308	8968	20055
309	8994	20019
310	9021	19986
311	9049	19954
312	9077	19924
313	9105	19893
314	9133	19860
315	9160	19829
316	9186	19793
317	9214	19761
318	9242	19730
319	9271	19701
320	9298	19667
321	9324	19634
322	9351	19601
323	9380	19571
324	9407	19538
325	9435	19507
326	9465	19480
327	9493	19450
328	9520	19416
329	9548	19387
330	9576	19356
331	9604	19324
332	9632	19294
333	9660	19262
334	9688	19232
335	9715	19199
336	9743	19169
337	9771	19138
338	9799	19107
339	9826	19075
340	9856	19047
341	9884	19017
342	9911	18984
343	9938	18951
344	9966	18921
345	9994	18891
346	10023	18863
347	10052	18833
348	10080	18802
349	10107	18770
350	10134	18739
351	10161	18706
352	10187	18672
353	10215	18642
354	10243	18611
355	10271	18581
356	10298	18548
357	10325	18516
358	10352	18485
359	10378	18450
360	10406	18419
361	10433	18388
362	10461	18357
363	10492	18333
364	10522	18306
365	10550	18276
366	10578	18245
367	10606	18216
368	10635	18186
369	10664	18158
370	10692	18127
371	10719	18095
372	10746	18064
373	10774	18034
374	10802	18004
375	10830	17974
376	10858	17944
377	10886	17913
378	10912	17881
379	10939	17849
380	10968	17819
381	10996	17789
382	11023	17758
383	11051	17727
384	11077	17695
385	11105	17664
386	11133	17635
387	11161	17605
388	11188	17573
389	11216	17544
390	11244	17514
391	11274	17486
392	11303	17458
393	11331	17428
394	11358	17397
395	11385	17365
396	11412	17333
397	11440	17304
398	11468	17274
399	11495	17243
400	11523	17212
401	11550	17182
402	11578	17152
403	11606	17122
404	11633	17091
405	11663	17064
406	11692	17036
407	11720	17005
408	11748	16975
409	11775	16945
410	11803	16915
411	11830	16884
412	11859	16855
413	11888	16827
414	11917	16799
415	11943	16766
416	11970	16735
417	11997	16704
418	12026	16676
419	12053	16645
420	12082	16617
421	12110	16586
422	12138	16557
423	12166	16528
424	12195	16499
425	12222	16469
426	12251	16440
427	12279	16410
428	12305	16379
429	12334	16350
430	12362	16320
431	12390	16291
432	12417	16260
433	12446	16232
434	12475	16204
435	12502	16173
436	12528	16141
437	12556	16110
438	12584	16081
439	12613	16053
440	12641	16023
441	12668	15993
442	12695	15962
443	12724	15933
444	12751	15904
445	12778	15872
446	12805	15842
447	12833	15812
448	12860	15781
449	12887	15751
450	12915	15721
451	12941	15690
452	12967	15658
453	12993	15627
454	13020	15596
455	13048	15566
456	13075	15536
457	13101	15504
458	13128	15473
459	13155	15443
460	13183	15414
461	13210	15383
462	13237	15353
463	13265	15324
464	13295	15296
465	13322	15266
466	13349	15236
467	13376	15206
468	13405	15177
469	13433	15147
470	13462	15120
471	13490	15091
472	13518	15061
473	13545	15031
474	13572	15001
475	13600	14971
476	13626	14940
477	13655	14911
478	13682	14882
479	13710	14853
480	13736	14821
481	13762	14790
482	13789	14759
483	13817	14730
484	13844	14701
485	13871	14670
486	13899	14641
487	13927	14612
488	13958	14586
489	13987	14558
490	14016	14530
491	14043	14499
492	14070	14470
493	14098	14440
494	14125	14411
495	14154	14382
496	14181	14352
497	14209	14323
498	14237	14294
499	14265	14265
500	14294	14236
501	14321	14207
502	14348	14177
503	14374	14146
504	14401	14115
505	14427	14085
506	14457	14057
507	14491	14035
508	14522	14008
509	14553	13982
510	14583	13956
511	14612	13927
512	14645	13903
513	14675	13875
514	14706	13849
515	14732	13819
516	14755	13784
517	14787	13759
518	14819	13734
519	14851	13709
520	14883	13683
521	14916	13658
522	14945	13631
523	14980	13608
524	15014	13584
525	15043	13556
526	15074	13530
527	15106	13503
528	15139	13479
529	15178	13460
530	15207	13432
531	15236	13403
532	15264	13374
533	15291	13344
534	15318	13314
535	15346	13284
536	15373	13255
537	15400	13225
538	15427	13194
539	15453	13164
540	15480	13134
541	15509	13105
542	15537	13076
543	15564	13046
544	15591	13016
545	15618	12986
546	15646	12957
547	15673	12927
548	15700	12898
549	15727	12868
550	15755	12838
551	15783	12809
552	15811	12780
553	15838	12750
554	15866	12721
555	15894	12693
556	15921	12663
557	15947	12632
558	15976	12603
559	16004	12574
560	16032	12545
561	16059	12516
562	16086	12486
563	16115	12457
564	16143	12428
565	16170	12399
566	16198	12370
567	16226	12341
568	16254	12311
569	16281	12282
570	16310	12254
571	16339	12225
572	16366	12196
573	16395	12168
574	16423	12139
575	16455	12112
576	16482	12083
577	16511	12054
578	16539	12025
579	16568	11997
580	16596	11968
581	16624	11939
582	16652	11911
583	16681	11882
584	16710	11854
585	16737	11824
586	16766	11796
587	16793	11766
588	16821	11738
589	16850	11709
590	16877	11680
591	16905	11651
592	16932	11621
593	16959	11591
594	16986	11562
595	17015	11533
596	17044	11505
597	17071	11476
598	17099	11446
599	17126	11417
600	17155	11389
601	17182	11360
602	17209	11330
603	17238	11301
604	17266	11273
605	17294	11244
606	17322	11215
607	17348	11185
608	17377	11157
609	17405	11128
610	17433	11099
611	17460	11069
612	17488	11040
613	17515	11011
614	17543	10982
615	17570	10953
616	17598	10923
617	17626	10895
618	17655	10866
619	17683	10837
620	17710	10808
621	17739	10780
622	17768	10752
623	17795	10723
624	17822	10693
625	17850	10664
626	17878	10635
627	17906	10606
628	17932	10577
629	17962	10549
